istanza,N,alpha,piano,espansi,valutati,tempo_s,esito
N_12__graph_01__DNTP_instance__alpha_0.200__k_004,12; N=,0.200; AL=,4,5,65,0.108795,OK
N_12__graph_01__DNTP_instance__alpha_0.600__k_011,12; N=12; N=,0.600; AL=0.200; AL=,10,11,146,0.246052,OK
N_12__graph_01__DNTP_instance__alpha_1.000__k_017,12; N=12; N=12; N=,1.000; AL=0.600; AL=0.200; AL=,15,16,211,0.360068,OK
N_12__graph_01__DNTP_instance__alpha_1.400__k_024,12; N=12; N=12; N=12; N=,1.400; AL=1.000; AL=0.600; AL=0.200; AL=,21,1470,5976,10.401399,OK
N_12__graph_01__DNTP_instance__alpha_1.800__k_031,12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,25,29,426,0.753953,OK
N_12__graph_02__DNTP_instance__alpha_0.200__k_004,12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,4,5,61,0.100548,OK
N_12__graph_02__DNTP_instance__alpha_0.600__k_010,12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,9,10,136,0.221407,OK
N_12__graph_02__DNTP_instance__alpha_1.000__k_016,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,14,15,228,0.375238,OK
N_12__graph_02__DNTP_instance__alpha_1.400__k_023,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,21,27,301,0.491666,OK
N_12__graph_02__DNTP_instance__alpha_1.800__k_029,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,23,33,311,0.506626,OK
N_12__graph_03__DNTP_instance__alpha_0.200__k_003,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,3,4,42,0.067679,OK
