istanza,N,E,alpha,piano,espansi,valutati,tempo_s,esito
N_12__graph_01__DNTP_instance__alpha_0.200__k_004,12,19,0.200,4,4,5,0.011609,OK
N_12__graph_01__DNTP_instance__alpha_0.600__k_011,12,20,0.600,12,18,19,0.051425,OK
N_12__graph_01__DNTP_instance__alpha_1.000__k_017,12,21,1.000,16,846,847,1.446427,OK
N_12__graph_01__DNTP_instance__alpha_1.400__k_024,12,25,1.400,25,74,75,0.144742,OK
N_12__graph_01__DNTP_instance__alpha_1.800__k_031,12,26,1.800,27,27,28,0.056779,OK
N_12__graph_02__DNTP_instance__alpha_0.200__k_004,12,19,0.200,4,4,5,0.018213,OK
N_12__graph_02__DNTP_instance__alpha_0.600__k_010,12,19,0.600,12,2000,2001,3.340223,OK
N_12__graph_02__DNTP_instance__alpha_1.000__k_016,12,21,1.000,14,4220,4221,7.043750,OK
N_12__graph_02__DNTP_instance__alpha_1.400__k_023,12,22,1.400,18,23,24,0.044905,OK
N_12__graph_02__DNTP_instance__alpha_1.800__k_029,12,23,1.800,22,75911,75912,127.725663,OK
N_12__graph_03__DNTP_instance__alpha_0.200__k_003,12,18,0.200,3,3,4,0.009142,OK
N_12__graph_03__DNTP_instance__alpha_0.600__k_010,12,21,0.600,10,10,11,0.022855,OK
N_12__graph_03__DNTP_instance__alpha_1.000__k_015,12,22,1.000,15,15,16,0.032834,OK
N_12__graph_03__DNTP_instance__alpha_1.400__k_022,12,24,1.400,22,31,32,0.063327,OK
N_12__graph_03__DNTP_instance__alpha_1.800__k_027,12,25,1.800,28,1064,1065,1.897991,OK
N_12__graph_04__DNTP_instance__alpha_0.200__k_004,12,20,0.200,4,4,5,0.011376,OK
N_12__graph_04__DNTP_instance__alpha_0.600__k_011,12,22,0.600,12,16,17,0.033544,OK
N_12__graph_04__DNTP_instance__alpha_1.000__k_018,12,24,1.000,15,16,17,0.033079,OK
N_12__graph_04__DNTP_instance__alpha_1.400__k_026,12,25,1.400,21,2654,2655,4.535743,OK
N_12__graph_04__DNTP_instance__alpha_1.800__k_033,12,27,1.800,27,3255,3256,5.392098,OK
N_12__graph_05__DNTP_instance__alpha_0.200__k_004,12,19,0.200,4,4,5,0.011344,OK
N_12__graph_05__DNTP_instance__alpha_0.600__k_010,12,20,0.600,9,13,14,0.027935,OK
N_12__graph_05__DNTP_instance__alpha_1.000__k_016,12,21,1.000,15,110,111,0.194344,OK
N_12__graph_05__DNTP_instance__alpha_1.400__k_023,12,22,1.400,22,4800,4801,8.005943,OK
N_12__graph_05__DNTP_instance__alpha_1.800__k_029,12,23,1.800,24,50,51,0.089918,OK
N_18__graph_01__DNTP_instance__alpha_0.200__k_006,18,29,0.200,6,7,8,0.030252,OK
N_18__graph_01__DNTP_instance__alpha_0.600__k_017,18,30,0.600,13,15,16,0.055446,OK
N_18__graph_01__DNTP_instance__alpha_1.000__k_027,18,32,1.000,22,1127,1128,3.591987,OK
N_18__graph_01__DNTP_instance__alpha_1.400__k_038,18,35,1.400,34,768,769,2.394118,OK
N_18__graph_01__DNTP_instance__alpha_1.800__k_049,18,37,1.800,40,268,269,0.851213,OK
N_18__graph_02__DNTP_instance__alpha_0.200__k_005,18,26,0.200,5,7,8,0.027783,OK
N_18__graph_02__DNTP_instance__alpha_0.600__k_016,18,30,0.600,18,27,28,0.092157,OK
N_18__graph_02__DNTP_instance__alpha_1.000__k_025,18,33,1.000,29,9384,9385,27.662094,OK
N_18__graph_02__DNTP_instance__alpha_1.400__k_035,18,36,1.400,41,9995,9996,30.286127,OK
N_18__graph_02__DNTP_instance__alpha_1.800__k_045,18,39,1.800,47,22660,22661,68.376740,OK
N_18__graph_03__DNTP_instance__alpha_0.200__k_005,18,27,0.200,5,6,7,0.028509,OK
N_18__graph_03__DNTP_instance__alpha_0.600__k_015,18,30,0.600,16,24,25,0.082121,OK
N_18__graph_03__DNTP_instance__alpha_1.000__k_024,18,32,1.000,23,8707,8708,26.092772,OK
N_18__graph_03__DNTP_instance__alpha_1.400__k_034,18,35,1.400,34,8551,8552,26.647170,OK
N_18__graph_03__DNTP_instance__alpha_1.800__k_044,18,37,1.800,39,10530,10531,32.784185,OK
N_18__graph_04__DNTP_instance__alpha_0.200__k_005,18,27,0.200,5,6,7,0.024668,OK
N_18__graph_04__DNTP_instance__alpha_0.600__k_015,18,29,0.600,16,5400,5401,16.113036,OK
N_18__graph_04__DNTP_instance__alpha_1.000__k_024,18,31,1.000,31,239,240,0.704933,OK
N_18__graph_04__DNTP_instance__alpha_1.400__k_034,18,35,1.400,44,13339,13340,41.367671,OK
N_18__graph_04__DNTP_instance__alpha_1.800__k_044,18,38,1.800,52,13474,13475,41.040131,OK
N_18__graph_05__DNTP_instance__alpha_0.200__k_005,18,27,0.200,5,5,6,0.024199,OK
